PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
4,0,3,"Williams, Mrs. Robert",female,47.8,1,3,18.63,,Q
393,0,2,"Taylor, Mr. Patricia",male,58.1,0,0,30.39,,C
289,1,2,"Williams, Mrs. Richard",female,38.0,0,2,43.29,,S
162,0,3,"Garcia, Mr. John",male,10.3,0,0,21.48,C13,S
244,0,2,"Martin, Mr. Linda",male,54.1,0,0,46.36,,S
169,1,1,"Lopez, Mrs. Thomas",female,28.0,0,1,49.64,,S
344,0,2,"Martinez, Mr. Sarah",male,38.9,2,0,30.81,,C
323,0,3,"Thomas, Mr. Joseph",male,38.1,0,0,21.0,,C
50,1,1,"Gonzalez, Mr. Thomas",male,44.3,0,2,83.72,A75,S
137,1,3,"Martinez, Mrs. Mary",female,35.9,0,1,44.73,,S
31,1,3,"Martin, Mr. Robert",male,54.9,0,3,17.12,,S
374,0,3,"Hernandez, Mr. David",male,19.5,0,0,55.14,A65,S
179,1,3,"Anderson, Mr. Richard",male,29.4,0,1,29.38,,S
195,1,2,"Martin, Mrs. Elizabeth",female,43.4,0,0,40.96,,C
57,0,1,"Anderson, Mr. David",male,13.5,0,0,52.29,,S
202,0,1,"Rodriguez, Mr. Joseph",male,,0,0,107.05,,S
150,1,2,"Garcia, Mrs. Charles",female,54.4,0,1,51.12,,S
22,1,1,"Taylor, Mrs. Jennifer",female,52.4,0,0,79.48,C19,S
184,0,3,"Gonzalez, Mr. Michael",male,22.5,0,0,34.2,,S
1,0,2,"Jones, Mr. Jessica",male,17.9,3,0,112.84,,C
388,1,1,"Anderson, Mr. Linda",male,37.9,0,0,87.99,C6,S
53,0,3,"Hernandez, Mr. Jessica",male,24.2,0,0,21.55,B71,Q
127,0,3,"Gonzalez, Mr. Patricia",male,31.6,0,0,16.97,,S
295,1,1,"Wilson, Mr. Richard",male,27.7,0,0,45.63,,S
45,0,2,"Thomas, Mrs. Karen",female,19.0,0,0,52.55,C88,C
165,0,1,"Garcia, Mr. Linda",male,36.8,0,0,58.16,,S
190,0,2,"Moore, Mr. Richard",male,16.5,0,0,54.23,,S
314,1,3,"Jackson, Mr. Karen",male,0.5,0,0,23.32,F98,S
312,0,1,"Lopez, Mr. John",male,55.3,0,0,54.87,,Q
95,0,3,"Lopez, Mr. Linda",male,28.5,0,0,56.23,,C
110,1,1,"Lopez, Mrs. Thomas",female,18.1,0,0,83.25,D21,S
360,0,3,"Wilson, Mrs. James",female,39.6,1,2,18.22,,S
253,0,3,"Lopez, Mr. Patricia",male,9.7,0,0,22.31,,S
59,1,1,"Thomas, Mr. Robert",male,,3,0,45.68,,S
394,0,3,"Davis, Mr. Robert",male,19.4,1,0,27.96,,C
307,0,3,"Taylor, Mr. Susan",male,21.2,1,0,33.47,D51,S
88,0,3,"Davis, Mr. Karen",male,53.6,0,1,47.69,,S
361,0,2,"Moore, Mr. Thomas",male,,0,0,42.42,,S
386,1,3,"Gonzalez, Mrs. Patricia",female,,0,3,59.72,C42,S
198,0,3,"Rodriguez, Mr. Joseph",male,,2,0,,,
175,1,3,"Taylor, Mrs. Karen",female,,0,0,17.29,,
123,1,2,"Davis, Mrs. David",female,,1,0,31.32,,Q
